ID;Title;Family;Group;Type;Entity;IsCluster
217;Dna polymerase ii;Nature;Bodies;Molecule;Enzymes and coenzymes;False
218;Protein c;Technology;Manufactured chemicals;Molecule;Biological factors;False
219;Rejuvenation;Technology;Know-how;Treatment;Therapeutics;False
220;Matrix attachment regions;Nature;Phenomena;;;False
221;Fibromodulin;Nature;Bodies;Molecule;Amino acids(peptides);False
222;Nef gene products(human immunodeficiency virus);Nature;Bodies;Molecule;Amino acids(peptides);False
223;Breakthrough pain;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
224;Cesium isotopes;Nature;Bodies;Molecule;Inorganic chemicals;False
225;Receptor-interacting protein serine-threonine kinase 2;Nature;Bodies;Molecule;Enzymes and coenzymes;False
226;Cystatin a;Nature;Bodies;Molecule;Amino acids(peptides);False
227;Tuberous sclerosis;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
228;Chemokines(cc);Technology;Manufactured chemicals;Molecule;Biological factors;False
229;Sulfur-reducing bacteria;Nature;Bodies;Organism;Bacteria;False
230;Incontinentia pigmenti;Nature;Phenomena;Biological phenomenon;Skin and connective tissue diseases;False
231;Zyxin;Nature;Bodies;Molecule;Amino acids(peptides);False
232;Avidin;Nature;Bodies;Molecule;Amino acids(peptides);False
233;Histatins;Nature;Bodies;Molecule;Amino acids(peptides);False
234;Carcinoma(renal cell);Nature;Phenomena;Biological phenomenon;Neoplasms;False
235;Tropism;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
236;Aquaporin 5;Nature;Bodies;Molecule;Amino acids(peptides);False
237;Equine infectious anemia;Nature;Phenomena;Biological phenomenon;Virus diseases;False
238;Arbaprostil;Technology;Manufactured chemicals;Molecule;Biological factors;False
239;Albuterol(ipratropium drug combination);Nature;Bodies;Molecule;Organic chemicals;False
240;Casein kinase iepsilon;Nature;Bodies;Molecule;Amino acids(peptides);False
241;Ultracentrifugation;Technology;Know-how;Technique;Investigative techniques;False
242;Minichromosome maintenance complex component 8;Nature;Bodies;Molecule;Enzymes and coenzymes;False
243;Dinitolmide;Nature;Bodies;Molecule;Organic chemicals;False
244;Plant development;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
245;Vertigo;Nature;Phenomena;Biological phenomenon;Otorhinolaryngologic diseases;False
246;Seroepidemiologic studies;Technology;Know-how;Technique;Investigative techniques;False
247;Fusidic acid;Nature;Bodies;Molecule;Polycyclic compounds;False
248;Proton-phosphate symporters;Nature;Bodies;Molecule;Amino acids(peptides);False
249;Rhipicephalus sanguineus;Nature;Bodies;Organism;Eukaryota;False
250;3-hydroxyanthranilic acid;Nature;Bodies;Molecule;Organic chemicals;False
251;Chromosomes(human);Nature;Bodies;Life component;Cells;False
252;Latex;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
253;Pseudomonas stutzeri;Nature;Bodies;Organism;Bacteria;False
254;Pneumonia of calves(enzootic);Nature;Phenomena;Biological phenomenon;Animal diseases;False
255;Acyl-coa dehydrogenase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
256;Protein tyrosine phosphatase(non-receptor type 22);Nature;Bodies;Molecule;Amino acids(peptides);False
257;Ribosomal protein s6 kinases(90-kda);Nature;Bodies;Molecule;Amino acids(peptides);False
258;Favism;Nature;Phenomena;Biological phenomenon;Hemic and lymphatic diseases;False
259;Nadh dehydrogenase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
260;Beta-keratins;Nature;Bodies;Molecule;Macromolecular substances;False
261;Dna(c-form);Nature;Phenomena;;;False
262;Abdominal muscles;Nature;Bodies;Life component;Musculoskeletal system;False
263;Cholinesterase inhibitors;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
264;Selenium oxides;Nature;Bodies;Molecule;Inorganic chemicals;False
265;Beta-lipotropin;Nature;Bodies;Molecule;Amino acids(peptides);False
266;Thiouracil;Nature;Bodies;Molecule;Heterocyclic compounds;False
267;Glycoside hydrolase inhibitors;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
268;Chordata;Nature;Bodies;Organism;Eukaryota;False
269;Diatrizoate meglumine;Nature;Bodies;Molecule;Organic chemicals;False
270;Anacardiaceae;Nature;Bodies;Organism;Eukaryota;False
271;Carcinoma(non-small-cell lung);Nature;Phenomena;Biological phenomenon;Respiratory tract diseases;False
272;Glue proteins(drosophila);Nature;Bodies;Molecule;Amino acids(peptides);False
273;Organometallic compounds;Nature;Bodies;Molecule;Organic chemicals;False
274;Adrenoleukodystrophy;Nature;Phenomena;Biological phenomenon;Nutritional and metabolic diseases;False
275;Job syndrome;Nature;Phenomena;Biological phenomenon;Immune system diseases;False
276;Dna breaks(single-stranded);Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
277;Tata-box binding protein;Nature;Bodies;Molecule;Amino acids(peptides);False
278;Euthanasia(active);Science;Disciplines;;;False
279;Lymphoma(t-cell);Nature;Phenomena;Biological phenomenon;Immune system diseases;False
280;Receptors(adrenergic);Nature;Bodies;Molecule;Amino acids(peptides);False
281;Sexually transmitted diseases(bacterial);Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
282;Actin depolymerizing factors;Nature;Bodies;Molecule;Amino acids(peptides);False
283;Zonula occludens-1 protein;Nature;Bodies;Molecule;Amino acids(peptides);False
284;Adenylyl cyclases;Nature;Bodies;Molecule;Amino acids(peptides);False
285;Interleukin-2 receptor alpha subunit;Nature;Bodies;Molecule;Amino acids(peptides);False
286;Pepsinogen a;Nature;Bodies;Molecule;Enzymes and coenzymes;False
287;Radiation pneumonitis;Nature;Phenomena;Biological phenomenon;Respiratory tract diseases;False
288;Social perception;Nature;Phenomena;;;False
289;Fermented foods;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
290;Agatoxins;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
291;Loss of function mutation;Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
292;Enterotoxigenic escherichia coli;Nature;Bodies;Organism;Bacteria;False
293;Dinosaurs;Nature;Bodies;Organism;Eukaryota;False
294;Carcinoma(hepatocellular);Nature;Phenomena;Biological phenomenon;Neoplasms;False
295;Aggregatibacter aphrophilus;Nature;Bodies;Organism;Bacteria;False
296;Chlorobenzenes;Nature;Bodies;Molecule;Organic chemicals;False
297;Myosin type v;Nature;Bodies;Molecule;Macromolecular substances;False
298;Cottonseed oil;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
299;Hla-d antigens;Technology;Manufactured chemicals;Molecule;Biological factors;False
300;Hla-dr beta-chains;Nature;Bodies;Molecule;Amino acids(peptides);False
301;Sarcopenia;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
302;Arteriviridae;Nature;Bodies;Organism;Viruses;False
303;Intergenerational relations;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
304;Enterococcus faecium;Nature;Bodies;Organism;Bacteria;False
305;Tolonium chloride;Nature;Bodies;Molecule;Heterocyclic compounds;False
306;Technetium tc 99m sestamibi;Nature;Bodies;Molecule;Organic chemicals;False
307;Oxygenators;Technology;Manufactured objects;;;False
308;Cochlear implants;Technology;Manufactured objects;;;False
309;Brassica rapa;Nature;Bodies;Organism;Eukaryota;False
310;Lipoxygenase;Nature;Bodies;Molecule;Amino acids(peptides);False
311;Image interpretation(computer-assisted);Technology;Know-how;Process;Diagnosis;False
312;Steam bath;Technology;Know-how;Treatment;Therapeutics;False
313;Peripheral blood stem cell transplantation;Technology;Know-how;Procedure;Surgical procedures(operative);False
314;Thyroiditis;Nature;Phenomena;Biological phenomenon;Endocrine system diseases;False
315;Factor ix;Technology;Manufactured chemicals;Molecule;Biological factors;False
316;Aliivibrio fischeri;Nature;Bodies;Organism;Bacteria;False
317;Dental alloys;Technology;Manufactured chemicals;Molecule;Biomedical and dental materials;False
318;Saccharopolyspora;Nature;Bodies;Organism;Bacteria;False
319;Cyclin-dependent kinase 5;Nature;Bodies;Molecule;Amino acids(peptides);False
320;Chromosomes(artificial);Nature;Bodies;Life component;Cells;False
321;Polyalthia;Nature;Bodies;Organism;Eukaryota;False
322;Chromogranins;Nature;Bodies;Molecule;Amino acids(peptides);False
323;Vestibulocochlear nerve;Nature;Bodies;Life component;Nervous system;False
324;Zap-70 protein-tyrosine kinase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
325;Colonoscopes;Technology;Manufactured objects;;;False
326;Adenosine a2 receptor agonists;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
327;Tomography(optical);Technology;Know-how;Process;Diagnosis;False
328;Fitness trackers;Technology;Manufactured objects;;;False
329;Rheumatic heart disease;Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
330;Hmgn1 protein;Nature;Bodies;Molecule;Amino acids(peptides);False
331;Appendix;Nature;Bodies;Life component;Digestive system;False
332;D-amino-acid oxidase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
333;Freemartinism;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
334;Phalloidine;Nature;Bodies;Molecule;Amino acids(peptides);False
335;Duodenum;Nature;Bodies;Life component;Digestive system;False
336;Acrosome;Nature;Bodies;Life component;Cells;False
337;Echolocation;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
338;Zeta-crystallins;Nature;Bodies;Molecule;Enzymes and coenzymes;False
339;Stat5 transcription factor;Nature;Bodies;Molecule;Amino acids(peptides);False
340;Turbinates;Nature;Bodies;Life component;Respiratory system;False
341;Beer;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
342;Erythrocyte aggregation;Technology;Know-how;Process;Diagnosis;False
343;Empyema(subdural);Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
344;Potassium magnesium aspartate;Nature;Bodies;Molecule;Amino acids(peptides);False
345;Elastomers;Technology;Manufactured chemicals;Molecule;Biomedical and dental materials;False
346;Myeloblastin;Nature;Bodies;Molecule;Enzymes and coenzymes;False
347;Glutamate-ammonia ligase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
348;Ronidazole;Nature;Bodies;Molecule;Organic chemicals;False
349;Citrobacter rodentium;Nature;Bodies;Organism;Bacteria;False
350;Anthranilate synthase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
351;Surgical attire;Technology;Manufactured objects;;;False
352;Staghorn calculi;Nature;Phenomena;Biological phenomenon;Male urogenital diseases;False
353;Bone morphogenetic protein 15;Nature;Bodies;Molecule;Amino acids(peptides);False
354;Dual specificity phosphatase 2;Nature;Bodies;Molecule;Amino acids(peptides);False
355;Autoantibodies;Nature;Bodies;Molecule;Amino acids(peptides);False
356;Tissue kallikreins;Technology;Manufactured chemicals;Molecule;Biological factors;False
357;Minichromosome maintenance proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
358;Cause of death;Technology;Know-how;Technique;Investigative techniques;False
359;Anaplasmosis;Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
360;Enzyme multiplied immunoassay technique;Technology;Know-how;Technique;Investigative techniques;False
361;Mouth neoplasms;Nature;Phenomena;Biological phenomenon;Stomatognathic diseases;False
